id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
021519001,Aggugaddan,Aggugaddan,aggugaddan-021519001,021519001,3502,17.703,121.8069
021519002,Alimanao,Alimanao,alimanao-021519002,021519002,3502,17.6416,121.7652
021519003,Baliuag,Baliuag,baliuag-021519003,021519003,3502,17.5562,121.8341
021519004,Bical,Bical,bical-021519004,021519004,3502,18.243,121.7302
021519005,Bugatay,Bugatay,bugatay-021519005,021519005,3502,17.6162,121.8133
021519006,Buyun,Buyun,buyun-021519006,021519006,3502,18.2367,121.8478
021519007,Cabasan,Cabasan,cabasan-021519007,021519007,3502,17.6054,121.8174
021519008,Cabbo,Cabbo,cabbo-021519008,021519008,3502,17.6086,121.8051
021519009,Callao,Callao,callao-021519009,021519009,3502,17.6892,121.8033
021519010,Camasi,Camasi,camasi-021519010,021519010,3502,17.628,121.7774
021519011,Centro (Pob.),Centro (Pob.),centro-pob-021519011,021519011,3502,18.4673,121.3459
021519012,Dodan,Dodan,dodan-021519012,021519012,3502,18.3449,121.6588
021519013,Lapi,Lapi,lapi-021519013,021519013,3502,17.716,121.8977
021519015,Malibabag,Malibabag,malibabag-021519015,021519015,3502,17.6974,121.8046
021519016,Manga,Manga,manga-021519016,021519016,3502,17.7012,121.8605
021519017,Minanga,Minanga,minanga-021519017,021519017,3502,17.7604,121.7294
021519018,Nabbabalayan,Nabbabalayan,nabbabalayan-021519018,021519018,3502,17.7084,121.8477
021519019,Nanguilattan,Nanguilattan,nanguilattan-021519019,021519019,3502,17.7413,121.8167
021519020,Nannarian,Nannarian,nannarian-021519020,021519020,3502,17.6805,121.8042
021519021,Parabba,Parabba,parabba-021519021,021519021,3502,17.6486,121.797
021519022,Patagueleg,Patagueleg,patagueleg-021519022,021519022,3502,17.6536,121.7932
021519023,Quibal,Quibal,quibal-021519023,021519023,3502,17.7159,121.8113
021519024,San Roque (Litto),San Roque (Litto),san-roque-litto-021519024,021519024,3502,17.671,121.8059
021519025,Sisim,Sisim,sisim-021519025,021519025,3502,17.6271,121.8133
