id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
025008001,Abaca,Abaca,abaca-025008001,025008001,3707,16,121.2833
025008014,Bagumbayan,Bagumbayan,bagumbayan-025008014,025008014,3707,16.2845,121.0924
025008015,Balsain,Balsain,balsain-025008015,025008015,3707,16.291,121.0837
025008003,Banila,Banila,banila-025008003,025008003,3707,16.1935,121.0611
025008013,Biruk,Biruk,biruk-025008013,025008013,3707,16.283,121.1
025008016,Canabay,Canabay,canabay-025008016,025008016,3707,16.283,121.1
025008004,Carolotan,Carolotan,carolotan-025008004,025008004,3707,16.2529,121.128
025008017,Domang,Domang,domang-025008017,025008017,3707,16.2862,121.085
025008018,Dopaj,Dopaj,dopaj-025008018,025008018,3707,16.283,121.1
025008007,Gabut,Gabut,gabut-025008007,025008007,3707,16.3047,121.0603
025008008,Ganao (Lingad),Ganao (Lingad),ganao-lingad-025008008,025008008,3707,17.6566,120.6305
025008019,Kimbutan,Kimbutan,kimbutan-025008019,025008019,3707,16.283,121.1
025008020,Kinabuan,Kinabuan,kinabuan-025008020,025008020,3707,16.283,121.1
025008010,Lukidnon,Lukidnon,lukidnon-025008010,025008010,3707,15.95,121.2
025008011,Mangayang,Mangayang,mangayang-025008011,025008011,3707,16.3106,121.0702
025008012,Palabotan,Palabotan,palabotan-025008012,025008012,3707,16.283,121.1
025008021,Sanguit,Sanguit,sanguit-025008021,025008021,3707,16.283,121.1
025008022,Santa Maria,Santa Maria,santa-maria-025008022,025008022,3707,16.2963,121.0796
025008023,Talbek,Talbek,talbek-025008023,025008023,3707,16.283,121.1
