id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
041010001,Bago,Bago,bago-041010001,041010001,4230,13.8081,121.1175
041010002,Balanga,Balanga,balanga-041010002,041010002,4230,13.9,120.8667
041010003,Bungahan,Bungahan,bungahan-041010003,041010003,4230,13.8712,121.0541
041010004,Calamias,Calamias,calamias-041010004,041010004,4230,13.8641,121.1464
041010005,Catandala,Catandala,catandala-041010005,041010005,4230,13.7865,121.1521
041010006,Coliat,Coliat,coliat-041010006,041010006,4230,13.8132,121.1232
041010007,Dayapan,Dayapan,dayapan-041010007,041010007,4230,13.9372,120.9162
041010008,Lapu-lapu,Lapu-lapu,lapu-lapu-041010008,041010008,4230,10.3127,123.9488
041010009,Lucsuhin,Lucsuhin,lucsuhin-041010009,041010009,4230,13.8819,120.6413
041010010,Mabalor,Mabalor,mabalor-041010010,041010010,4230,13.8155,121.2339
041010011,Malainin,Malainin,malainin-041010011,041010011,4230,13.8413,121.1183
041010012,Matala,Matala,matala-041010012,041010012,4230,13.8287,121.1549
041010013,Munting-Tubig,Munting-Tubig,munting-tubig-041010013,041010013,4230,13.8417,121.1654
041010014,Palindan,Palindan,palindan-041010014,041010014,4230,13.8278,121.132
041010015,Pangao,Pangao,pangao-041010015,041010015,4230,13.9179,121.1246
041010016,Panghayaan,Panghayaan,panghayaan-041010016,041010016,4230,13.7752,121.1817
041010017,Poblacion,Poblacion,poblacion-041010017,041010017,4230,13.8315,121.3966
041010018,Quilo,Quilo,quilo-041010018,041010018,4230,13.8167,121.1333
041010019,Sabang,Sabang,sabang-041010019,041010019,4230,13.9455,121.1694
041010020,Salaban I,Salaban I,salaban-i-041010020,041010020,4230,13.8512,121.114
041010028,Salaban II,Salaban II,salaban-ii-041010028,041010028,4230,13.8512,121.114
041010022,San Agustin,San Agustin,san-agustin-041010022,041010022,4230,13.834,121.1607
041010023,Sandalan,Sandalan,sandalan-041010023,041010023,4230,13.8125,121.1363
041010024,Santo Niño,Santo Niño,santo-nio-041010024,041010024,4230,13.8553,121.2255
041010025,Talaibon,Talaibon,talaibon-041010025,041010025,4230,13.8378,121.1398
041010027,Tulay Na Patpat,Tulay Na Patpat,tulay-na-patpat-041010027,041010027,4230,14.9333,120.9167
