id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
045636001,Anawan,Anawan,anawan-045636001,045636001,4339,14.807,121.9038
045636002,Atulayan,Atulayan,atulayan-045636002,045636002,4339,17.6373,121.7194
045636003,Balesin,Balesin,balesin-045636003,045636003,4339,14.717,121.95
045636004,Bañadero,Bañadero,baadero-045636004,045636004,4339,12.3254,123.6615
045636005,Binibitinan,Binibitinan,binibitinan-045636005,045636005,4339,14.8763,121.8747
045636006,Bislian,Bislian,bislian-045636006,045636006,4339,14.6463,121.9579
045636007,Bucao,Bucao,bucao-045636007,045636007,4339,15.2852,120.0159
045636008,Canicanian,Canicanian,canicanian-045636008,045636008,4339,14.7538,122.0191
045636009,Kalubakis,Kalubakis,kalubakis-045636009,045636009,4339,14.638,121.9189
045636010,Languyin,Languyin,languyin-045636010,045636010,4339,14.7273,122.0169
045636011,Libjo,Libjo,libjo-045636011,045636011,4339,10.196,125.5328
045636012,Pamatdan,Pamatdan,pamatdan-045636012,045636012,4339,14.717,121.95
045636013,Pilion,Pilion,pilion-045636013,045636013,4339,14.782,122.0126
045636014,Pinaglubayan,Pinaglubayan,pinaglubayan-045636014,045636014,4339,14.717,121.95
045636015,Poblacion,Poblacion,poblacion-045636015,045636015,4339,14.33,121.08
045636016,Sabang,Sabang,sabang-045636016,045636016,4339,11.8279,121.8846
045636017,Salipsip,Salipsip,salipsip-045636017,045636017,4339,14.8297,121.8888
045636018,Sibulan,Sibulan,sibulan-045636018,045636018,4339,9.35,123.28
045636019,Taluong,Taluong,taluong-045636019,045636019,4339,14.835,121.8865
045636020,Tamulaya-Anitong,Tamulaya-Anitong,tamulaya-anitong-045636020,045636020,4339,14.7784,121.9203
