id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
166723014,Albino Taruc,Albino Taruc,albino-taruc-166723014,166723014,8416,13.067,121.4
166723001,Del Pilar,Del Pilar,del-pilar-166723001,166723001,8416,10.3197,119.3408
166723002,Helene,Helene,helene-166723002,166723002,8416,13.067,121.4
166723003,Honrado,Honrado,honrado-166723003,166723003,8416,13.067,121.4
166723004,Navarro (Pob.),Navarro (Pob.),navarro-pob-166723004,166723004,8416,12.1031,124.565
166723005,Nueva Estrella,Nueva Estrella,nueva-estrella-166723005,166723005,8416,9.6283,125.9389
166723006,Pamosaingan,Pamosaingan,pamosaingan-166723006,166723006,8416,9.6494,125.9242
166723007,Rizal (Pob.),Rizal (Pob.),rizal-pob-166723007,166723007,8416,9.7804,125.4643
166723008,Salog,Salog,salog-166723008,166723008,8416,8.1075,122.7575
166723009,San Roque,San Roque,san-roque-166723009,166723009,8416,9.8036,126.0644
166723010,Santa Cruz,Santa Cruz,santa-cruz-166723010,166723010,8416,9.6467,125.9072
166723011,Sering,Sering,sering-166723011,166723011,8416,13.067,121.4
166723012,Songkoy,Songkoy,songkoy-166723012,166723012,8416,15.9665,120.3782
166723013,Sudlon,Sudlon,sudlon-166723013,166723013,8416,9.8739,124.4092
