id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
031419001,Akle,Akle,akle-031419001,031419001,3010,15.0482,121.0733
031419002,Alagao,Alagao,alagao-031419002,031419002,3010,15.0516,121.0443
031419003,Anyatam,Anyatam,anyatam-031419003,031419003,3010,15.1009,120.9401
031419006,Bagong Barrio,Bagong Barrio,bagong-barrio-031419006,031419006,3010,14.9565,121.0709
031419007,Basuit,Basuit,basuit-031419007,031419007,3010,15.0427,120.9817
031419009,Bubulong Malaki,Bubulong Malaki,bubulong-malaki-031419009,031419009,3010,15.0848,121.0122
031419008,Bubulong Munti,Bubulong Munti,bubulong-munti-031419008,031419008,3010,15.0897,120.9944
031419010,Buhol na Mangga,Buhol na Mangga,buhol-na-mangga-031419010,031419010,3010,14.6242,121.0626
031419011,Bulusukan,Bulusukan,bulusukan-031419011,031419011,3010,15.07889,120.94194
031419012,Calasag,Calasag,calasag-031419012,031419012,3010,15.0647,120.9281
031419013,Calawitan,Calawitan,calawitan-031419013,031419013,3010,15.0667,120.9167
031419014,Casalat,Casalat,casalat-031419014,031419014,3010,14.9822,121.0724
031419015,Gabihan,Gabihan,gabihan-031419015,031419015,3010,15.051,121.0101
031419016,Garlang,Garlang,garlang-031419016,031419016,3010,15.1113,120.946
031419017,Lapnit,Lapnit,lapnit-031419017,031419017,3010,15.0873,120.9239
031419018,Maasim,Maasim,maasim-031419018,031419018,3010,15.0425,120.9372
031419019,Makapilapil,Makapilapil,makapilapil-031419019,031419019,3010,15.0893,120.9348
031419020,Malipampang,Malipampang,malipampang-031419020,031419020,3010,15.0522,120.9382
031419038,Mataas na Parang,Mataas na Parang,mataas-na-parang-031419038,031419038,3010,15.086,120.955
031419021,Matimbubong,Matimbubong,matimbubong-031419021,031419021,3010,15.0652,120.9446
031419022,Nabaong Garlang,Nabaong Garlang,nabaong-garlang-031419022,031419022,3010,15.1067,120.9613
031419023,Palapala,Palapala,palapala-031419023,031419023,3010,15.0598,120.984
031419024,Pasong Bangkal,Pasong Bangkal,pasong-bangkal-031419024,031419024,3010,15.0082,121.0151
031419025,Pinaod,Pinaod,pinaod-031419025,031419025,3010,15.0734,120.9607
031419026,Poblacion,Poblacion,poblacion-031419026,031419026,3010,14.8296,120.8755
031419027,Pulong Tamo,Pulong Tamo,pulong-tamo-031419027,031419027,3010,15.0646,120.9078
031419028,San Juan,San Juan,san-juan-031419028,031419028,3010,14.8131,120.9096
031419029,Santa Catalina Bata,Santa Catalina Bata,santa-catalina-bata-031419029,031419029,3010,15.098,120.9805
031419030,Santa Catalina Matanda,Santa Catalina Matanda,santa-catalina-matanda-031419030,031419030,3010,15.0903,120.9829
031419031,Sapang Dayap,Sapang Dayap,sapang-dayap-031419031,031419031,3010,15.191,120.9908
031419032,Sapang Putik,Sapang Putik,sapang-putik-031419032,031419032,3010,14.9681,121.0634
031419033,Sapang Putol,Sapang Putol,sapang-putol-031419033,031419033,3010,15.0738,120.943
031419034,Sumandig,Sumandig,sumandig-031419034,031419034,3010,15.0754,120.9858
031419035,Telepatio,Telepatio,telepatio-031419035,031419035,3010,15.0484,120.9372
031419037,Umpucan,Umpucan,umpucan-031419037,031419037,3010,15.0707,121.0119
031419036,Upig,Upig,upig-031419036,031419036,3010,15.0255,120.9919
