id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
034906001,Baloy,Baloy,baloy-034906001,034906001,3117,15.8053,120.7742
034906002,Bambanaba,Bambanaba,bambanaba-034906002,034906002,3117,15.7238,120.7253
034906003,Bantug,Bantug,bantug-034906003,034906003,3117,15.4926,120.9795
034906004,Bentigan,Bentigan,bentigan-034906004,034906004,3117,15.7601,120.6514
034906005,Bibiclat,Bibiclat,bibiclat-034906005,034906005,3117,15.5219,120.8624
034906006,Bonifacio,Bonifacio,bonifacio-034906006,034906006,3117,15.8129,120.7472
034906007,Bued,Bued,bued-034906007,034906007,3117,16.018,120.3715
034906008,Bulala,Bulala,bulala-034906008,034906008,3117,15.7747,120.6694
034906009,Burgos,Burgos,burgos-034906009,034906009,3117,15.4339,120.9408
034906011,Cabatuan,Cabatuan,cabatuan-034906011,034906011,3117,15.7506,121.0069
034906010,Cabileo,Cabileo,cabileo-034906010,034906010,3117,15.7727,120.6917
034906012,Cacapasan,Cacapasan,cacapasan-034906012,034906012,3117,15.783,120.667
034906013,Calancuasan Norte,Calancuasan Norte,calancuasan-norte-034906013,034906013,3117,15.8014,120.641
034906014,Calancuasan Sur,Calancuasan Sur,calancuasan-sur-034906014,034906014,3117,15.7907,120.6348
034906015,Colosboa,Colosboa,colosboa-034906015,034906015,3117,15.7964,120.7219
034906016,Columbitin,Columbitin,columbitin-034906016,034906016,3117,15.7833,120.65
034906017,Curva,Curva,curva-034906017,034906017,3117,15.6826,121.0687
034906018,District I (Pob. I),District I (Pob. I),district-i-pob-i-034906018,034906018,3117,15.783,120.667
034906019,District II (Pob. II),District II (Pob. II),district-ii-pob-ii-034906019,034906019,3117,15.783,120.667
034906021,District IV (Pob. IV),District IV (Pob. IV),district-iv-pob-iv-034906021,034906021,3117,15.783,120.667
034906022,District V (Pob. V),District V (Pob. V),district-v-pob-v-034906022,034906022,3117,15.783,120.667
034906023,District VI (Pob. VI),District VI (Pob. VI),district-vi-pob-vi-034906023,034906023,3117,15.783,120.667
034906024,District VII (Pob. VII),District VII (Pob. VII),district-vii-pob-vii-034906024,034906024,3117,15.783,120.667
034906025,District VIII (Pob. VIII),District VIII (Pob. VIII),district-viii-pob-viii-034906025,034906025,3117,15.783,120.667
034906026,Landig,Landig,landig-034906026,034906026,3117,15.7902,120.6538
034906027,Latap,Latap,latap-034906027,034906027,3117,15.8,120.6833
034906028,Loob,Loob,loob-034906028,034906028,3117,15.7736,120.6417
034906029,Luna,Luna,luna-034906029,034906029,3117,15.408,120.9418
034906030,Malbeg-Patalan,Malbeg-Patalan,malbeg-patalan-034906030,034906030,3117,15.783,120.667
034906031,Malineng,Malineng,malineng-034906031,034906031,3117,15.7961,120.6807
034906032,Matindeg,Matindeg,matindeg-034906032,034906032,3117,15.7832,120.6909
034906033,Maycaban,Maycaban,maycaban-034906033,034906033,3117,15.8078,120.6516
034906034,Nacuralan,Nacuralan,nacuralan-034906034,034906034,3117,15.783,120.667
034906035,Nagmisahan,Nagmisahan,nagmisahan-034906035,034906035,3117,15.7438,120.702
034906036,Paitan Norte,Paitan Norte,paitan-norte-034906036,034906036,3117,15.8333,120.7409
034906037,Paitan Sur,Paitan Sur,paitan-sur-034906037,034906037,3117,15.8234,120.7322
034906038,Piglisan,Piglisan,piglisan-034906038,034906038,3117,15.7763,120.6231
034906039,Pugo,Pugo,pugo-034906039,034906039,3117,15.7833,120.65
034906040,Rizal,Rizal,rizal-034906040,034906040,3117,15.71,121.1047
034906041,Sabit,Sabit,sabit-034906041,034906041,3117,15.8285,120.6713
034906042,Salagusog,Salagusog,salagusog-034906042,034906042,3117,15.7833,120.65
034906043,San Antonio,San Antonio,san-antonio-034906043,034906043,3117,15.3078,120.8533
034906044,San Jose,San Jose,san-jose-034906044,034906044,3117,15.8037,120.9991
034906045,San Juan,San Juan,san-juan-034906045,034906045,3117,15.8,120.9833
034906046,Santa Clara,Santa Clara,santa-clara-034906046,034906046,3117,15.5779,120.7973
034906047,Santa Cruz,Santa Cruz,santa-cruz-034906047,034906047,3117,15.2892,120.9796
034906048,Sinimbaan,Sinimbaan,sinimbaan-034906048,034906048,3117,15.783,120.667
034906049,Tagtagumbao,Tagtagumbao,tagtagumbao-034906049,034906049,3117,15.7427,120.719
034906050,Tutuloy,Tutuloy,tutuloy-034906050,034906050,3117,15.783,120.667
034906051,Ungab,Ungab,ungab-034906051,034906051,3117,15.8025,120.6226
034906052,Villaflores,Villaflores,villaflores-034906052,034906052,3117,15.8131,120.6222
