id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
035416001,Alasas,Alasas,alasas-035416001,035416001,6018,12.223,123.3175
035416002,Baliti,Baliti,baliti-035416002,035416002,6018,15.9575,120.3296
035416003,Bulaon,Bulaon,bulaon-035416003,035416003,6018,15.7761,119.9136
035416004,Calulut,Calulut,calulut-035416004,035416004,6018,15.0949,120.6483
035416007,Del Carmen,Del Carmen,del-carmen-035416007,035416007,6018,9.869,125.97
035416008,Del Pilar,Del Pilar,del-pilar-035416008,035416008,6018,10.3197,119.3408
035416009,Del Rosario,Del Rosario,del-rosario-035416009,035416009,6018,13.8595,121.3875
035416005,Dela Paz Norte,Dela Paz Norte,dela-paz-norte-035416005,035416005,6018,15.0875,120.6289
035416006,Dela Paz Sur,Dela Paz Sur,dela-paz-sur-035416006,035416006,6018,15.0768,120.6349
035416010,Dolores,Dolores,dolores-035416010,035416010,6018,12.0378,125.4828
035416011,Juliana,Juliana,juliana-035416011,035416011,6018,10.889,121.9775
035416012,Lara,Lara,lara-035416012,035416012,6018,15.0333,120.1
035416013,Lourdes,Lourdes,lourdes-035416013,035416013,6018,8.525,124.4322
035416014,Magliman,Magliman,magliman-035416014,035416014,6018,15.0355,120.6642
035416015,Maimpis,Maimpis,maimpis-035416015,035416015,6018,15.0723,120.6523
035416016,Malino,Malino,malino-035416016,035416016,6018,11.8333,124.9833
035416017,Malpitic,Malpitic,malpitic-035416017,035416017,6018,15.0796,120.6548
035416019,Pandaras,Pandaras,pandaras-035416019,035416019,6018,15.0268,120.7244
035416020,Panipuan,Panipuan,panipuan-035416020,035416020,6018,15.1066,120.6578
035416038,Pulung Bulu,Pulung Bulu,pulung-bulu-035416038,035416038,6018,15.1287,120.6054
035416022,Quebiauan,Quebiauan,quebiauan-035416022,035416022,6018,15.0558,120.6687
035416023,Saguin,Saguin,saguin-035416023,035416023,6018,15.0935,120.6235
035416024,San Agustin,San Agustin,san-agustin-035416024,035416024,6018,12.5689,122.1314
035416025,San Felipe,San Felipe,san-felipe-035416025,035416025,6018,14.58,121.03
035416026,San Isidro,San Isidro,san-isidro-035416026,035416026,6018,14.4685,121.0118
035416027,San Jose,San Jose,san-jose-035416027,035416027,6018,12.3528,121.0676
035416029,San Juan,San Juan,san-juan-035416029,035416029,6018,14.604,121.03
035416030,San Nicolas,San Nicolas,san-nicolas-035416030,035416030,6018,16.07,120.7653
035416031,San Pedro,San Pedro,san-pedro-035416031,035416031,6018,14.3583,121.0583
035416032,Santa Lucia,Santa Lucia,santa-lucia-035416032,035416032,6018,17.1222,120.4494
035416033,Santa Teresita,Santa Teresita,santa-teresita-035416033,035416033,6018,13.8664,120.9814
035416034,Santo Niño,Santo Niño,santo-nio-035416034,035416034,6018,6.43,124.68
035416021,Santo Rosario (Pob.),Santo Rosario (Pob.),santo-rosario-pob-035416021,035416021,6018,15.03,120.68
035416036,Sindalan,Sindalan,sindalan-035416036,035416036,6018,15.0811,120.6427
035416037,Telabastagan,Telabastagan,telabastagan-035416037,035416037,6018,15.1185,120.6077
