id,name.local,name.en,name.slug,code.id,children_count.barangay,geo.lat,geo.lon
071201,Alburquerque,Alburquerque,alburquerque-071201,071201,11,9.6,123.95
071202,Alicia,Alicia,alicia-071202,071202,15,9.9,124.45
071203,Anda,Anda,anda-071203,071203,16,9.75,124.57
071204,Antequera,Antequera,antequera-071204,071204,21,9.78,123.9
071205,Baclayon,Baclayon,baclayon-071205,071205,17,9.63,123.9
071206,Balilihan,Balilihan,balilihan-071206,071206,31,9.75,123.97
071207,Batuan,Batuan,batuan-071207,071207,15,9.8,124.13
071248,Bien Unido,Bien Unido,bien-unido-071248,071248,15,10.13,124.38
071208,Bilar,Bilar,bilar-071208,071208,19,9.7,124.1
071209,Buenavista,Buenavista,buenavista-071209,071209,35,10.08,124.12
071210,Calape,Calape,calape-071210,071210,33,9.88,123.88
071211,Candijay,Candijay,candijay-071211,071211,21,9.82,124.5
071212,Carmen,Carmen,carmen-071212,071212,29,9.82,124.2
071213,Catigbian,Catigbian,catigbian-071213,071213,22,9.83,124.03
071214,Clarin,Clarin,clarin-071214,071214,24,9.97,124.02
071215,Corella,Corella,corella-071215,071215,8,9.68,123.92
071216,Cortes,Cortes,cortes-071216,071216,14,9.72,123.88
071217,Dagohoy,Dagohoy,dagohoy-071217,071217,15,9.92,124.28
071218,Danao,Danao,danao-071218,071218,17,10.02,124.27
071219,Dauis,Dauis,dauis-071219,071219,12,9.62,123.85
071220,Dimiao,Dimiao,dimiao-071220,071220,35,9.62,124.17
071221,Duero,Duero,duero-071221,071221,21,9.72,124.4
071222,Garcia Hernandez,Garcia Hernandez,garcia-hernandez-071222,071222,30,9.62,124.3
071226,Getafe,Getafe,getafe-071226,071226,24,10.15,124.15
071223,Guindulman,Guindulman,guindulman-071223,071223,19,9.77,124.48
071224,Inabanga,Inabanga,inabanga-071224,071224,50,10.03,124.07
071225,Jagna,Jagna,jagna-071225,071225,33,9.65,124.37
071227,Lila,Lila,lila-071227,071227,18,9.6,124.1
071228,Loay,Loay,loay-071228,071228,24,9.6,124.02
071229,Loboc,Loboc,loboc-071229,071229,28,9.63,124.03
071230,Loon,Loon,loon-071230,071230,67,9.8,123.8
071231,Mabini,Mabini,mabini-071231,071231,22,9.87,124.52
071232,Maribojoc,Maribojoc,maribojoc-071232,071232,22,9.75,123.83
071233,Panglao,Panglao,panglao-071233,071233,10,9.58,123.75
071234,Pilar,Pilar,pilar-071234,071234,21,9.83,124.33
071235,Pres. Carlos P. Garcia (Pitogo),Pres. Carlos P. Garcia (Pitogo),pres-carlos-p-garcia-pitogo-071235,071235,23,7.45,123.317
071236,Sagbayan (Borja),Sagbayan (Borja),sagbayan-borja-071236,071236,24,9.92,124.1
071237,San Isidro,San Isidro,san-isidro-071237,071237,12,9.8,124.3
071238,San Miguel,San Miguel,san-miguel-071238,071238,18,10,124.32
071239,Sevilla,Sevilla,sevilla-071239,071239,13,9.7,124.05
071240,Sierra Bullones,Sierra Bullones,sierra-bullones-071240,071240,22,9.82,124.28
071241,Sikatuna,Sikatuna,sikatuna-071241,071241,10,9.68,123.97
071242,Tagbilaran City,Tagbilaran City,tagbilaran-city-071242,071242,15,9.65,123.85
071243,Talibon,Talibon,talibon-071243,071243,25,10.12,124.28
071244,Trinidad,Trinidad,trinidad-071244,071244,20,10.05,124.35
071245,Tubigon,Tubigon,tubigon-071245,071245,34,9.95,123.97
071246,Ubay,Ubay,ubay-071246,071246,44,10.05,124.47
071247,Valencia,Valencia,valencia-071247,071247,35,9.62,124.2
