id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
118203012,Anitapan,Anitapan,anitapan-118203012,118203012,8115,7.3,125.85
118203013,Cabuyuan,Cabuyuan,cabuyuan-118203013,118203013,8115,7.3,125.85
118203002,Cadunan,Cadunan,cadunan-118203002,118203002,8115,7.3,125.85
118203007,Cuambog (Pob.),Cuambog (Pob.),cuambog-pob-118203007,118203007,8115,7.3086,125.8481
118203014,Del Pilar,Del Pilar,del-pilar-118203014,118203014,8115,10.3197,119.3408
118203016,Golden Valley (Maraut),Golden Valley (Maraut),golden-valley-maraut-118203016,118203016,8115,16.0288,120.4381
118203015,Libodon,Libodon,libodon-118203015,118203015,8115,7.039,125.754
118203017,Pangibiran,Pangibiran,pangibiran-118203017,118203017,8115,7.3,125.85
118203006,Pindasan,Pindasan,pindasan-118203006,118203006,8115,7.2838,125.8535
118203018,San Antonio,San Antonio,san-antonio-118203018,118203018,8115,15.3078,120.8533
118203011,Tagnanan (Mampising),Tagnanan (Mampising),tagnanan-mampising-118203011,118203011,8115,7.2648,125.8584
