id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
082604001,Alang-alang,Alang-alang,alang-alang-082604001,082604001,6800,11.2061,124.8478
082604002,Amantacop,Amantacop,amantacop-082604002,082604002,6800,11.6,125.43
082604003,Ando,Ando,ando-082604003,082604003,6800,11.6433,125.4792
082604004,Balacdas,Balacdas,balacdas-082604004,082604004,6800,11.6519,125.4228
082604005,Balud,Balud,balud-082604005,082604005,6800,11.6167,125.4333
082604006,Banuyo,Banuyo,banuyo-082604006,082604006,6800,11.0964,125.6942
082604007,Baras,Baras,baras-082604007,082604007,6800,11.0102,125.7705
082604008,Bato,Bato,bato-082604008,082604008,6800,11.5975,125.4408
082604009,Bayobay,Bayobay,bayobay-082604009,082604009,6800,11.6,125.43
082604010,Benowangan,Benowangan,benowangan-082604010,082604010,6800,11.6,125.43
082604011,Bugas,Bugas,bugas-082604011,082604011,6800,11.7014,125.4664
082604012,Cabalagnan,Cabalagnan,cabalagnan-082604012,082604012,6800,13.8354,122.7807
082604013,Cabong,Cabong,cabong-082604013,082604013,6800,11.5856,125.4553
082604014,Cagbonga,Cagbonga,cagbonga-082604014,082604014,6800,11.6525,125.3869
082604015,Calico-an,Calico-an,calico-an-082604015,082604015,6800,11.5947,125.405
082604016,Calingatngan,Calingatngan,calingatngan-082604016,082604016,6800,11.6167,125.4333
082604020,Camada,Camada,camada-082604020,082604020,6800,11.6,125.43
082604017,Campesao,Campesao,campesao-082604017,082604017,6800,11.6,125.43
082604018,Can-abong,Can-abong,can-abong-082604018,082604018,6800,11.5867,125.44
082604019,Can-aga,Can-aga,can-aga-082604019,082604019,6800,11.7067,125.4447
082604021,Canjaway,Canjaway,canjaway-082604021,082604021,6800,11.6933,125.4744
082604022,Canlaray,Canlaray,canlaray-082604022,082604022,6800,11.6,125.43
082604023,Canyopay,Canyopay,canyopay-082604023,082604023,6800,11.6,125.43
082604024,Divinubo,Divinubo,divinubo-082604024,082604024,6800,11.5969,125.4981
082604025,Hebacong,Hebacong,hebacong-082604025,082604025,6800,11.6,125.43
082604026,Hindang,Hindang,hindang-082604026,082604026,6800,11.6167,125.4333
082604027,Lalawigan,Lalawigan,lalawigan-082604027,082604027,6800,11.5892,125.4697
082604028,Libuton,Libuton,libuton-082604028,082604028,6800,8.5022,123.0859
082604029,Locso-on,Locso-on,locso-on-082604029,082604029,6800,11.5714,125.4639
082604030,Maybacong,Maybacong,maybacong-082604030,082604030,6800,11.6167,125.45
082604031,Maypangdan,Maypangdan,maypangdan-082604031,082604031,6800,11.6519,125.4503
082604032,Pepelitan,Pepelitan,pepelitan-082604032,082604032,6800,11.6294,125.4447
082604033,Pinanag-an,Pinanag-an,pinanag-an-082604033,082604033,6800,11.4742,125.3094
082604043,Punta Maria,Punta Maria,punta-maria-082604043,082604043,6800,11.6728,125.4822
082604035,Purok A (Pob.),Purok A (Pob.),purok-a-pob-082604035,082604035,6800,16.9665,121.7254
082604036,Purok B (Pob.),Purok B (Pob.),purok-b-pob-082604036,082604036,6800,16.9665,121.7254
082604037,Purok C (Pob.),Purok C (Pob.),purok-c-pob-082604037,082604037,6800,16.9665,121.7254
082604034,Purok D1 (Pob.),Purok D1 (Pob.),purok-d1-pob-082604034,082604034,6800,16.9665,121.7254
082604038,Purok D2 (Pob.),Purok D2 (Pob.),purok-d2-pob-082604038,082604038,6800,16.9665,121.7254
082604039,Purok E (Pob.),Purok E (Pob.),purok-e-pob-082604039,082604039,6800,16.9665,121.7254
082604040,Purok F (Pob.),Purok F (Pob.),purok-f-pob-082604040,082604040,6800,16.9665,121.7254
082604041,Purok G (Pob.),Purok G (Pob.),purok-g-pob-082604041,082604041,6800,16.9665,121.7254
082604042,Purok H (Pob.),Purok H (Pob.),purok-h-pob-082604042,082604042,6800,16.9665,121.7254
082604044,Sabang North,Sabang North,sabang-north-082604044,082604044,6800,11.1057,125.3929
082604045,Sabang South,Sabang South,sabang-south-082604045,082604045,6800,11.1057,125.3929
082604046,San Andres,San Andres,san-andres-082604046,082604046,6800,14.5739,121.0039
082604047,San Gabriel,San Gabriel,san-gabriel-082604047,082604047,6800,11.5889,125.3628
082604048,San Gregorio,San Gregorio,san-gregorio-082604048,082604048,6800,15.2552,120.8581
082604049,San Jose,San Jose,san-jose-082604049,082604049,6800,11.6006,125.3889
082604050,San Mateo,San Mateo,san-mateo-082604050,082604050,6800,11.6317,125.3925
082604051,San Pablo,San Pablo,san-pablo-082604051,082604051,6800,14.07,121.325
082604052,San Saturnino,San Saturnino,san-saturnino-082604052,082604052,6800,11.6739,125.4608
082604053,Santa Fe,Santa Fe,santa-fe-082604053,082604053,6800,11.6881,125.4644
082604054,Siha,Siha,siha-082604054,082604054,6800,11.5836,125.3917
082604056,Sohutan,Sohutan,sohutan-082604056,082604056,6800,11.6,125.43
082604055,Songco,Songco,songco-082604055,082604055,6800,11.6158,125.435
082604057,Suribao,Suribao,suribao-082604057,082604057,6800,11.5483,125.4683
082604058,Surok,Surok,surok-082604058,082604058,6800,11.6261,125.4203
082604059,Taboc,Taboc,taboc-082604059,082604059,6800,11.6014,125.4408
082604060,Tabunan,Tabunan,tabunan-082604060,082604060,6800,11.6631,125.4503
082604061,Tamoso,Tamoso,tamoso-082604061,082604061,6800,11.68,125.4639
