id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
082620007,Barangay No. 1 Poblacion,Barangay No. 1 Poblacion,barangay-no-1-poblacion-082620007,082620007,6814,16.17,120.7802
082620008,Barangay No. 2 Poblacion,Barangay No. 2 Poblacion,barangay-no-2-poblacion-082620008,082620008,6814,16.17,120.7802
082620009,Barangay No. 3 Poblacion,Barangay No. 3 Poblacion,barangay-no-3-poblacion-082620009,082620009,6814,16.17,120.7802
082620010,Barangay No. 4 Poblacion,Barangay No. 4 Poblacion,barangay-no-4-poblacion-082620010,082620010,6814,16.17,120.7802
082620011,Barangay No. 5 Poblacion,Barangay No. 5 Poblacion,barangay-no-5-poblacion-082620011,082620011,6814,16.17,120.7802
082620012,Barangay No. 6 Poblacion,Barangay No. 6 Poblacion,barangay-no-6-poblacion-082620012,082620012,6814,16.17,120.7802
082620001,Bunacan,Bunacan,bunacan-082620001,082620001,6814,11.2643,123.7177
082620002,Campidhan,Campidhan,campidhan-082620002,082620002,6814,11.75,125.45
082620003,Casoroy,Casoroy,casoroy-082620003,082620003,6814,11.775,125.4322
082620004,Libas,Libas,libas-082620004,082620004,6814,12.15,125.4333
082620020,Lunang,Lunang,lunang-082620020,082620020,6814,10.35,124.7833
082620005,Nena (Luna),Nena (Luna),nena-luna-082620005,082620005,6814,11.7658,125.4178
082620006,Pagbabangnan,Pagbabangnan,pagbabangnan-082620006,082620006,6814,11.735,125.4625
082620013,Putong,Putong,putong-082620013,082620013,6814,11.75,125.45
082620015,San Isidro,San Isidro,san-isidro-082620015,082620015,6814,11.4283,125.5361
082620016,San Miguel,San Miguel,san-miguel-082620016,082620016,6814,11.4358,125.5311
