id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
086024001,Baguiw,Baguiw,baguiw-086024001,086024001,6712,12.05,124.15
086024002,Balocawe,Balocawe,balocawe-086024002,086024002,6712,12.5883,124.0587
086024003,Guinbarucan,Guinbarucan,guinbarucan-086024003,086024003,6712,12.05,124.15
086024004,Labangbaybay,Labangbaybay,labangbaybay-086024004,086024004,6712,12.0423,124.1634
086024005,Luna,Luna,luna-086024005,086024005,6712,16.85,120.38
086024006,Mataluto,Mataluto,mataluto-086024006,086024006,6712,12.05,124.15
086024007,Nipa,Nipa,nipa-086024007,086024007,6712,12.5547,125.1672
086024008,Pantalan,Pantalan,pantalan-086024008,086024008,6712,12.0807,124.2227
086024009,Pulangbato,Pulangbato,pulangbato-086024009,086024009,6712,13.7475,121.3986
086024014,San Jose (Pob.),San Jose (Pob.),san-jose-pob-086024014,086024014,6712,12.3528,121.0676
086024010,San Vicente,San Vicente,san-vicente-086024010,086024010,6712,10.5281,119.2542
086024013,Suarez (Manlangit),Suarez (Manlangit),suarez-manlangit-086024013,086024013,6712,8.2061,124.2089
086024011,Sugod (Pob.),Sugod (Pob.),sugod-pob-086024011,086024011,6712,12.5162,124.7625
086024015,Trinidad,Trinidad,trinidad-086024015,086024015,6712,16.46,120.59
