id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
015527001,Andangin,Andangin,andangin-015527001,015527001,2413,15.7254,120.3407
015527002,Arellano Street (Pob.),Arellano Street (Pob.),arellano-street-pob-015527002,015527002,2413,10.132,125.4975
015527003,Bantay,Bantay,bantay-015527003,015527003,2413,15.7984,120.2546
015527004,Bantocaling,Bantocaling,bantocaling-015527004,015527004,2413,15.7966,120.2627
015527005,Baracbac,Baracbac,baracbac-015527005,015527005,2413,15.7232,120.3446
015527007,Bogtong Bolo,Bogtong Bolo,bogtong-bolo-015527007,015527007,2413,15.7512,120.3235
015527008,Bogtong Bunao,Bogtong Bunao,bogtong-bunao-015527008,015527008,2413,15.7561,120.3434
015527009,Bogtong Centro,Bogtong Centro,bogtong-centro-015527009,015527009,2413,16.1958,119.8286
015527010,Bogtong Niog,Bogtong Niog,bogtong-niog-015527010,015527010,2413,15.7636,120.3315
015527011,Bogtong Silag,Bogtong Silag,bogtong-silag-015527011,015527011,2413,15.8118,120.2801
015527012,Buaya,Buaya,buaya-015527012,015527012,2413,15.7699,120.3726
015527013,Buenlag,Buenlag,buenlag-015527013,015527013,2413,15.9814,120.1908
015527014,Bueno,Bueno,bueno-015527014,015527014,2413,15.7803,120.3065
015527015,Bunagan,Bunagan,bunagan-015527015,015527015,2413,15.7645,120.2636
015527017,Bunlalacao,Bunlalacao,bunlalacao-015527017,015527017,2413,15.8268,120.2775
015527018,Burgos Street (Pob.),Burgos Street (Pob.),burgos-street-pob-015527018,015527018,2413,16.0465,119.8568
015527019,Cabaluyan 1st,Cabaluyan 1st,cabaluyan-1st-015527019,015527019,2413,15.69,120.3343
015527020,Cabaluyan 2nd,Cabaluyan 2nd,cabaluyan-2nd-015527020,015527020,2413,15.69,120.3343
015527021,Cabarabuan,Cabarabuan,cabarabuan-015527021,015527021,2413,15.7138,120.3342
015527022,Cabaruan,Cabaruan,cabaruan-015527022,015527022,2413,15.9331,120.5093
015527023,Cabayaoasan,Cabayaoasan,cabayaoasan-015527023,015527023,2413,15.7684,120.3871
015527024,Cabayugan,Cabayugan,cabayugan-015527024,015527024,2413,15.7333,120.35
015527025,Cacaoiten,Cacaoiten,cacaoiten-015527025,015527025,2413,15.6667,120.3167
015527026,Calumboyan Norte,Calumboyan Norte,calumboyan-norte-015527026,015527026,2413,15.8349,120.282
015527027,Calumboyan Sur,Calumboyan Sur,calumboyan-sur-015527027,015527027,2413,15.9465,120.3035
015527028,Calvo (Pob.),Calvo (Pob.),calvo-pob-015527028,015527028,2413,15.783,120.3
015527029,Casilagan,Casilagan,casilagan-015527029,015527029,2413,15.95,120.5333
015527030,Catarataraan,Catarataraan,catarataraan-015527030,015527030,2413,15.8,120.2833
015527031,Caturay Norte,Caturay Norte,caturay-norte-015527031,015527031,2413,15.7878,120.36
015527032,Caturay Sur,Caturay Sur,caturay-sur-015527032,015527032,2413,15.7783,120.3628
015527033,Caviernesan,Caviernesan,caviernesan-015527033,015527033,2413,15.7675,120.2838
015527034,Dorongan Ketaket,Dorongan Ketaket,dorongan-ketaket-015527034,015527034,2413,15.8019,120.323
015527035,Dorongan Linmansangan,Dorongan Linmansangan,dorongan-linmansangan-015527035,015527035,2413,15.8408,120.2825
