id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
175308001,Bantayan (Pob.),Bantayan (Pob.),bantayan-pob-175308001,175308001,5321,11.2,123.73
175308002,Calsada (Pob.),Calsada (Pob.),calsada-pob-175308002,175308002,5321,10.7781,124.9988
175308003,Convento (Pob.),Convento (Pob.),convento-pob-175308003,175308003,5321,9.48194,121.03611
175308004,Lipot North (Pob.),Lipot North (Pob.),lipot-north-pob-175308004,175308004,5321,13.602,123.1692
175308005,Lipot South (Pob.),Lipot South (Pob.),lipot-south-pob-175308005,175308005,5321,13.602,123.1692
175308006,Magsaysay,Magsaysay,magsaysay-175308006,175308006,5321,6.77,125.18
175308007,Mampio,Mampio,mampio-175308007,175308007,5321,9.6097,121.2372
175308008,Nusa,Nusa,nusa-175308008,175308008,5321,7.882,124.2109
175308009,Santa Cruz,Santa Cruz,santa-cruz-175308009,175308009,5321,14.5998,120.9802
175308010,Tacas (Pob.),Tacas (Pob.),tacas-pob-175308010,175308010,5321,10.7667,122.55
175308011,Talaga,Talaga,talaga-175308011,175308011,5321,7.4335,122.3455
175308012,Wahig (Pob.),Wahig (Pob.),wahig-pob-175308012,175308012,5321,9.48194,121.03611
