id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
104319001,Bangbang,Bangbang,bangbang-104319001,104319001,9013,13.1159,121.3021
104319002,Bulwa,Bulwa,bulwa-104319002,104319002,9013,8.5069,124.6139
104319003,Cabug,Cabug,cabug-104319003,104319003,9013,9.7708,123.8168
104319004,Dig-aguyan,Dig-aguyan,dig-aguyan-104319004,104319004,9013,10.9833,122.7333
104319005,Duka,Duka,duka-104319005,104319005,9013,11.3619,124.782
104319006,Gasa,Gasa,gasa-104319006,104319006,9013,10.9833,122.7333
104319007,Maanas,Maanas,maanas-104319007,104319007,9013,8.8939,125.0308
104319008,Mananum Bag-o,Mananum Bag-o,mananum-bag-o-104319008,104319008,9013,8.9103,124.9922
104319009,Mananum Daan,Mananum Daan,mananum-daan-104319009,104319009,9013,8.7256,124.7961
104319011,North Poblacion,North Poblacion,north-poblacion-104319011,104319011,9013,15.4558,121.335
104319012,Pahindong,Pahindong,pahindong-104319012,104319012,9013,10.9833,122.7333
104319013,Portulin,Portulin,portulin-104319013,104319013,9013,8.9253,124.9994
104319014,San Isidro,San Isidro,san-isidro-104319014,104319014,9013,14.4685,121.0118
104319015,San Jose,San Jose,san-jose-104319015,104319015,9013,12.3528,121.0676
104319016,San Roque,San Roque,san-roque-104319016,104319016,9013,12.533,124.867
104319017,San Vicente,San Vicente,san-vicente-104319017,104319017,9013,10.5281,119.2542
104319018,South Poblacion,South Poblacion,south-poblacion-104319018,104319018,9013,15.4495,121.3373
104319019,Tambagan,Tambagan,tambagan-104319019,104319019,9013,8.0736,124.6211
104319020,Tup-on,Tup-on,tup-on-104319020,104319020,9013,8.9167,125.0167
