id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
064504001,Andres Bonifacio,Andres Bonifacio,andres-bonifacio-064504001,064504001,6121,10.6,122.1167
064504002,Banquerohan,Banquerohan,banquerohan-064504002,064504002,6121,14.2698,122.8054
064504003,Barangay 1 Pob. (Zone 1),Barangay 1 Pob. (Zone 1),barangay-1-pob-zone-1-064504003,064504003,6121,16.17,120.7802
064504004,Barangay 2 Pob. (Zone 2),Barangay 2 Pob. (Zone 2),barangay-2-pob-zone-2-064504004,064504004,6121,16.17,120.7802
064504005,Barangay 3 Pob. (Zone 3),Barangay 3 Pob. (Zone 3),barangay-3-pob-zone-3-064504005,064504005,6121,16.17,120.7802
064504006,Barangay 4 Pob. (Zone 4),Barangay 4 Pob. (Zone 4),barangay-4-pob-zone-4-064504006,064504006,6121,16.17,120.7802
064504007,Barangay 5 Pob. (Zone 5),Barangay 5 Pob. (Zone 5),barangay-5-pob-zone-5-064504007,064504007,6121,16.17,120.7802
064504008,Barangay 6 Pob. (Zone 6),Barangay 6 Pob. (Zone 6),barangay-6-pob-zone-6-064504008,064504008,6121,16.17,120.7802
064504009,Burgos,Burgos,burgos-064504009,064504009,6121,17.07,121.7
064504010,Cabahug,Cabahug,cabahug-064504010,064504010,6121,10.9148,123.3378
064504011,Cadiz Viejo,Cadiz Viejo,cadiz-viejo-064504011,064504011,6121,11.0008,123.2001
064504012,Caduha-an,Caduha-an,caduha-an-064504012,064504012,6121,10.9506,123.1817
064504013,Celestino Villacin,Celestino Villacin,celestino-villacin-064504013,064504013,6121,15.5833,120.5333
064504014,Daga,Daga,daga-064504014,064504014,6121,11.4957,122.7751
064504016,Jerusalem,Jerusalem,jerusalem-064504016,064504016,6121,17.5528,121.7031
064504017,Luna,Luna,luna-064504017,064504017,6121,16.85,120.38
064504018,Mabini,Mabini,mabini-064504018,064504018,6121,13.72,120.9
064504019,Magsaysay,Magsaysay,magsaysay-064504019,064504019,6121,6.77,125.18
064504021,Sicaba,Sicaba,sicaba-064504021,064504021,6121,10.9928,123.2435
064504022,Tiglawigan,Tiglawigan,tiglawigan-064504022,064504022,6121,10.9527,123.3575
064504023,Tinampa-an,Tinampa-an,tinampa-an-064504023,064504023,6121,10.9308,123.2827
064504015,V. F. Gustilo,V. F. Gustilo,v-f-gustilo-064504015,064504015,6121,10.95,123.3
