id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
097311004,Bogayo,Bogayo,bogayo-097311004,097311004,7013,7.75,123.15
097311005,Bolisong,Bolisong,bolisong-097311005,097311005,7013,9.6899,123.153
097311008,Boyugan East,Boyugan East,boyugan-east-097311008,097311008,7013,7.75,123.15
097311009,Boyugan West,Boyugan West,boyugan-west-097311009,097311009,7013,17.6,120.6667
097311006,Bualan,Bualan,bualan-097311006,097311006,7013,7.7661,122.8014
097311010,Diplo,Diplo,diplo-097311010,097311010,7013,7.75,123.15
097311013,Gawil,Gawil,gawil-097311013,097311013,7013,7.75,123.15
097311014,Gusom,Gusom,gusom-097311014,097311014,7013,7.7005,123.0865
097311015,Kitaan Dagat,Kitaan Dagat,kitaan-dagat-097311015,097311015,7013,17.629,120.5524
097311029,Lantawan,Lantawan,lantawan-097311029,097311029,7013,6.65,121.87
097311017,Limamawan,Limamawan,limamawan-097311017,097311017,7013,7.75,123.15
097311019,Mahayahay,Mahayahay,mahayahay-097311019,097311019,7013,7.8569,123.8001
097311020,Pangi,Pangi,pangi-097311020,097311020,7013,11.1009,122.5836
097311023,Picanan,Picanan,picanan-097311023,097311023,7013,7.75,123.15
097311022,Poblacion,Poblacion,poblacion-097311022,097311022,7013,14.33,121.08
097311024,Salagmanok,Salagmanok,salagmanok-097311024,097311024,7013,7.75,123.15
097311026,Secade,Secade,secade-097311026,097311026,7013,7.75,123.15
097311027,Suminalum,Suminalum,suminalum-097311027,097311027,7013,7.75,123.15
